model,accuracy,acc_lo,acc_hi,f1_CO,f1_lo,f1_hi,total_pnl,pnl_lo,pnl_hi,win_vs_xgb,loss_vs_xgb,mcnemar_p_vs_xgb
XGBoost,0.688,0.66,0.716,0.38095238095238093,0.3246720318221332,0.43407786530811204,-93541.30980000069,-376751.0862950227,182997.48278000904,,,
GPT-5.4 (baseline),0.764,0.738,0.79,0.2976190476190476,0.2327007459412023,0.3641316515249838,998847.9138149098,706167.9150268976,1292426.7663178688,158.0,82.0,1.058991851741549e-06
GPT-5.4 (chain_of_thought),0.775,0.749,0.801,0.25249169435215946,0.18771999097472925,0.31756756756756754,1188520.042214922,896156.9798174864,1477419.808999903,177.0,90.0,1.1040333891489939e-07
