condition,accuracy_mean,accuracy_std,co_f1_mean,co_f1_std,co_recall_mean,co_recall_std,co_precision_mean,co_precision_std,cost_mean,tokens_in_mean,tokens_out_mean
Control (Natural Indiv),0.8066666666666666,0.023094010767584987,0.32698412698412693,0.05223645292668043,0.31111111111111106,0.03849001794597508,0.34529914529914524,0.06809772405826356,0.2491449999999982,50380.0,8213.0
Tooning Only,0.7833333333333333,0.004714045207910321,0.31586021505376344,0.004752061701522492,0.3333333333333333,0.0,0.30024509803921573,0.008665524279246902,0.2046074999999982,36023.0,7636.666666666667
Batching Only,0.62,0.008164965809277268,0.3448959433456034,0.00485600376205894,0.6666666666666666,0.0,0.23264203496761635,0.0044186697816247815,0.17330500000000001,41644.0,4613.0
Batched TOON,0.62,0.016329931618554536,0.2371463077984817,0.03454126101584756,0.39999999999999997,0.09428090415820634,0.16930914177176962,0.018683581759199125,0.09842749999999993,14807.0,4094.0
