accuracy,precision_charged_off,recall_charged_off,f1_charged_off,auc,n_valid,run,condition
0.78,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.5941176470588235,100,1,no_desc
0.82,0.38461538461538464,0.3333333333333333,0.35714285714285715,0.6317647058823529,100,2,no_desc
0.82,0.38461538461538464,0.3333333333333333,0.35714285714285715,0.6396078431372549,100,3,no_desc
0.77,0.2777777777777778,0.3333333333333333,0.30303030303030304,0.5960784313725491,100,1,with_desc
0.77,0.2777777777777778,0.3333333333333333,0.30303030303030304,0.5941176470588236,100,2,with_desc
0.76,0.2631578947368421,0.3333333333333333,0.29411764705882354,0.5941176470588236,100,3,with_desc
